Country,respondents,q25,median,q75
Argentina,120,27500.0,42653.0,78000.0
Australia,461,78011.0,100765.0,130019.0
Austria,224,58007.0,80560.5,98612.0
Belgium,179,53135.0,71929.0,98612.0
Brazil,503,16383.0,32767.0,54611.0
Bulgaria,129,35584.0,55511.0,77098.0
Canada,746,69310.0,91198.0,124029.0
Czech Republic,303,42125.0,65528.0,89024.5
Denmark,189,82115.0,101088.0,124416.0
Finland,159,59966.5,77266.0,92812.0
France,822,49886.0,63808.0,88171.0
Germany,1658,64968.0,83531.0,104413.0
Greece,145,29004.0,46406.0,73785.0
Hungary,138,29713.5,49924.5,75183.0
India,879,8660.0,19761.0,41265.0
Ireland,133,92812.0,116015.0,145018.0
Israel,149,102950.0,141188.0,176485.0
Italy,470,37125.0,48726.0,69609.0
Japan,105,39380.0,60000.0,82906.0
Mexico,147,17843.5,35000.0,58008.5
Netherlands,499,62597.5,81210.0,106153.0
New Zealand,147,62343.5,84329.0,108424.0
Norway,159,76097.0,88945.0,111181.0
Poland,498,38206.0,64932.5,95515.0
Portugal,194,41765.0,62474.0,90368.25
Romania,182,27799.75,57437.0,87304.0
Russian Federation,104,15311.0,44377.0,58087.0
South Africa,150,21480.25,46681.5,68195.5
Spain,453,46116.0,64968.0,92812.0
Sweden,411,59557.0,73375.0,85534.0
Switzerland,324,117865.0,142592.0,172350.0
Turkey,149,15149.0,31812.0,63120.0
Ukraine,531,8771.5,31765.0,60000.0
United Kingdom of Great Britain and Northern Ireland,1232,69184.5,95299.0,134848.0
United States of America,4166,115000.0,151000.0,200000.0
