DevType,respondents,q25,median,q75
AI/ML engineer,294,51685.0,93062.0,152523.25
Academic researcher,140,33455.5,52207.0,73699.25
"Architect, software or solutions",1337,62648.0,102000.0,149756.0
Cloud infrastructure engineer,191,66128.0,109866.0,175000.0
Data engineer,412,48931.5,81210.0,125000.0
Data scientist,212,55615.5,91509.0,130416.5
DevOps engineer or professional,480,59060.75,92812.0,145000.0
"Developer, QA or test",111,41995.0,65663.0,105000.0
"Developer, back-end",3686,46406.0,81210.0,130000.0
"Developer, desktop or enterprise applications",1037,46331.0,75410.0,112000.0
"Developer, embedded applications or devices",698,52207.0,81685.0,123993.0
"Developer, front-end",989,36407.0,66709.0,102142.0
"Developer, full-stack",6908,41765.0,74782.0,116015.0
"Developer, game or graphics",175,40674.0,75410.0,104156.5
"Developer, mobile",705,35293.0,73089.0,118666.0
Engineering manager,495,89911.0,135000.0,190598.0
"Founder, technology or otherwise",126,62045.0,100000.0,145193.0
Other (please specify):,302,56075.25,96872.0,150000.0
"Senior executive (C-suite, VP, etc.)",192,76570.0,129594.5,210254.75
